Timestamp,Label,Location Name,Power (W),Energy (Wh)
2024-12-05 15:00:12,SMP03,Laboratory 207,0.494,4038.95
2024-12-05 15:00:24,SMP03,Laboratory 207,0.494,4038.95
2024-12-05 15:00:36,SMP03,Laboratory 207,0.045,4038.958
2024-12-05 15:00:48,SMP03,Laboratory 207,0.045,4038.958
2024-12-05 15:01:00,SMP03,Laboratory 207,0.045,4038.958
2024-12-05 15:01:13,SMP03,Laboratory 207,0.045,4038.958
2024-12-05 15:01:25,SMP03,Laboratory 207,0.088,4038.965
2024-12-05 15:01:37,SMP03,Laboratory 207,0.088,4038.965
2024-12-05 15:01:49,SMP03,Laboratory 207,0.088,4038.965
2024-12-05 15:02:01,SMP03,Laboratory 207,0.088,4038.965
2024-12-05 15:02:13,SMP03,Laboratory 207,0.088,4038.965
2024-12-05 15:02:25,SMP03,Laboratory 207,0.787,4038.972
2024-12-05 15:02:37,SMP03,Laboratory 207,0.787,4038.972
2024-12-05 15:02:49,SMP03,Laboratory 207,0.787,4038.972
2024-12-05 15:03:01,SMP03,Laboratory 207,0.787,4038.972
2024-12-05 15:03:13,SMP03,Laboratory 207,0.787,4038.972
2024-12-05 15:03:25,SMP03,Laboratory 207,0.063,4038.98
2024-12-05 15:03:38,SMP03,Laboratory 207,0.063,4038.98
2024-12-05 15:03:50,SMP03,Laboratory 207,0.063,4038.98
2024-12-05 15:04:02,SMP03,Laboratory 207,0.063,4038.98
2024-12-05 15:04:14,SMP03,Laboratory 207,0.063,4038.98
2024-12-05 15:04:26,SMP03,Laboratory 207,0.756,4038.987
2024-12-05 15:04:38,SMP03,Laboratory 207,0.756,4038.987
2024-12-05 15:04:50,SMP03,Laboratory 207,0.756,4038.987
2024-12-05 15:05:03,SMP03,Laboratory 207,0.756,4038.987
2024-12-05 15:05:15,SMP03,Laboratory 207,0.756,4038.987
2024-12-05 15:05:27,SMP03,Laboratory 207,0.078,4038.994
2024-12-05 15:05:39,SMP03,Laboratory 207,0.078,4038.994
2024-12-05 15:05:51,SMP03,Laboratory 207,0.078,4038.994
2024-12-05 15:06:03,SMP03,Laboratory 207,0.078,4038.994
2024-12-05 15:06:16,SMP03,Laboratory 207,0.078,4038.994
2024-12-05 15:06:28,SMP03,Laboratory 207,0.275,4039.001
2024-12-05 15:06:40,SMP03,Laboratory 207,0.275,4039.001
2024-12-05 15:06:52,SMP03,Laboratory 207,0.275,4039.001
2024-12-05 15:07:04,SMP03,Laboratory 207,0.275,4039.001
2024-12-05 15:07:16,SMP03,Laboratory 207,0.275,4039.001
2024-12-05 15:07:28,SMP03,Laboratory 207,0.092,4039.009
2024-12-05 15:07:40,SMP03,Laboratory 207,0.092,4039.009
2024-12-05 15:07:52,SMP03,Laboratory 207,0.092,4039.009
2024-12-05 15:08:05,SMP03,Laboratory 207,0.092,4039.009
2024-12-05 15:08:17,SMP03,Laboratory 207,0.092,4039.009
2024-12-05 15:08:29,SMP03,Laboratory 207,1.016,4039.016
2024-12-05 15:08:41,SMP03,Laboratory 207,1.016,4039.016
2024-12-05 15:08:53,SMP03,Laboratory 207,1.016,4039.016
2024-12-05 15:09:05,SMP03,Laboratory 207,1.016,4039.016
2024-12-05 15:09:17,SMP03,Laboratory 207,1.016,4039.016
2024-12-05 15:09:30,SMP03,Laboratory 207,0.891,4039.023
2024-12-05 15:09:42,SMP03,Laboratory 207,0.891,4039.023
2024-12-05 15:09:54,SMP03,Laboratory 207,0.891,4039.023
2024-12-05 15:10:09,SMP03,Laboratory 207,0.891,4039.023
2024-12-05 15:10:21,SMP03,Laboratory 207,0.891,4039.023
2024-12-05 15:10:34,SMP03,Laboratory 207,0.563,4039.031
