Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity,user3_activity
2024-11-22 00:48:00+00:00,SMP03,Laboratory 207,0.423,1067.873,Haewon Monitor,,,
2024-11-22 00:58:00+00:00,SMP03,Laboratory 207,0.399,1067.944,Haewon Monitor,,,
2024-11-22 01:08:00+00:00,SMP03,Laboratory 207,33.763,1069.903,Haewon Monitor,,,
2024-11-22 01:18:00+00:00,SMP03,Laboratory 207,0.15,1072.048,Haewon Monitor,,,
2024-11-22 01:28:00+00:00,SMP03,Laboratory 207,33.814,1075.554,Haewon Monitor,,,
2024-11-22 01:38:00+00:00,SMP03,Laboratory 207,33.756,1081.183,Haewon Monitor,,,
2024-11-22 01:48:00+00:00,SMP03,Laboratory 207,33.752,1081.183,Haewon Monitor,,,
2024-11-22 00:22:27+00:00,SMP04,Laboratory 207,18.13,1244.399,Jeein Monitor,,,
2024-11-22 00:33:26+00:00,SMP04,Laboratory 207,18.065,1247.418,Jeein Monitor,,,
2024-11-22 00:43:27+00:00,SMP04,Laboratory 207,18.262,1250.436,Jeein Monitor,,,
2024-11-22 00:53:27+00:00,SMP04,Laboratory 207,18.24,1253.465,Jeein Monitor,,,
2024-11-22 01:03:27+00:00,SMP04,Laboratory 207,18.264,1256.506,Jeein Monitor,,,
2024-11-22 01:13:27+00:00,SMP04,Laboratory 207,18.104,1259.552,Jeein Monitor,,,
2024-11-22 01:23:27+00:00,SMP04,Laboratory 207,18.09,1262.575,Jeein Monitor,,,
2024-11-22 01:33:27+00:00,SMP04,Laboratory 207,18.107,1265.593,Jeein Monitor,,,
2024-11-22 01:43:27+00:00,SMP04,Laboratory 207,18.106,1268.612,Jeein Monitor,,,
2024-11-22 01:53:27+00:00,SMP04,Laboratory 207,18.192,1268.612,Jeein Monitor,,,
2024-11-22 00:21:35+00:00,SMP05,Laboratory 207,21.191,4247.409,Jeein Computer,,,
2024-11-22 00:31:35+00:00,SMP05,Laboratory 207,26.498,4253.284,Jeein Computer,,,
2024-11-22 00:41:35+00:00,SMP05,Laboratory 207,72.553,4260.999,Jeein Computer,,,
2024-11-22 00:51:35+00:00,SMP05,Laboratory 207,29.482,4269.813,Jeein Computer,,,
2024-11-22 01:01:35+00:00,SMP05,Laboratory 207,31.175,4275.399,Jeein Computer,,,
2024-11-22 01:11:35+00:00,SMP05,Laboratory 207,23.043,4280.496,Jeein Computer,,,
2024-11-22 01:21:35+00:00,SMP05,Laboratory 207,29.575,4285.682,Jeein Computer,,,
2024-11-22 01:31:35+00:00,SMP05,Laboratory 207,47.048,4292.368,Jeein Computer,,,
2024-11-22 01:41:35+00:00,SMP05,Laboratory 207,24.569,4299.867,Jeein Computer,,,
2024-11-22 00:05:09+00:00,SMP07,Laboratory 207,0.86,1.232,Haewon Computer,,,
2024-11-22 00:35:48+00:00,SMP07,Laboratory 207,14.77,1.232,Haewon Computer,,,
2024-11-22 00:46:01+00:00,SMP07,Laboratory 207,10.92,1.235,Haewon Computer,,,
2024-11-22 00:56:14+00:00,SMP07,Laboratory 207,13.31,1.237,Haewon Computer,,,
2024-11-22 01:06:27+00:00,SMP07,Laboratory 207,27.87,1.241,Haewon Computer,,,
2024-11-22 01:16:40+00:00,SMP07,Laboratory 207,0.0,1.246,Haewon Computer,,,
2024-11-22 01:26:53+00:00,SMP07,Laboratory 207,84.16,1.246,Haewon Computer,,,
2024-11-22 01:37:06+00:00,SMP07,Laboratory 207,46.2,1.254,Haewon Computer,,,
2024-11-22 00:20:37+00:00,SMP12,Laboratory 207,42.29,0.052,Laptop Charger(Yurim),,,
2024-11-22 00:51:14+00:00,SMP12,Laboratory 207,61.68,0.073,Laptop Charger(Yurim),,,
2024-11-22 01:01:39+00:00,SMP12,Laboratory 207,56.45,0.081,Laptop Charger(Yurim),,,
2024-11-22 01:33:47+00:00,SMP12,Laboratory 207,32.16,0.104,Laptop Charger(Yurim),,,
2024-11-22 00:11:34+00:00,SMP13,Laboratory 207,6.02,0.094,Printer(207),,,
2024-11-22 00:46:47+00:00,SMP13,Laboratory 207,6.0,0.099,Printer(207),,,
2024-11-22 01:11:09+00:00,SMP13,Laboratory 207,5.72,0.099,Printer(207),,,
2024-11-22 01:56:31+00:00,SMP13,Laboratory 207,6.0,0.099,Printer(207),,,
