Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,Activity,Total Power (W),Unix Time
2024-11-28 13:45:17,0,1,0.28133097986565625,1.114396946804257,5,4,-2.0870647297954266,-1.9284738142411808
2024-11-28 13:45:29,0,1,0.28133097986565625,1.114396946804257,5,4,-2.0870647297954266,-1.924413353012629
2024-11-28 13:45:41,0,1,0.28133097986565625,1.114396946804257,5,4,-2.0870647297954266,-1.920352891784077
2024-11-28 13:45:53,0,1,0.26097558514659974,1.1145727662767726,5,4,-2.0952510144245164,-1.9162924305555251
2024-11-28 13:55:22,0,1,0.20915241185675681,1.1161028708754237,5,4,-5.256034712273174,-1.7237588939683541
2024-11-28 13:55:34,0,1,0.20915241185675681,1.1161028708754237,5,4,-0.2096903979741386,-1.7196984327398022
2024-11-28 13:56:16,0,1,0.21725302812250394,1.1162725807909795,5,4,-0.03185816504645905,-1.7054868184398704
2024-11-28 13:56:28,0,1,0.21725302812250394,1.1162725807909795,5,4,-0.03185816504645905,-1.7014263572113184
2024-11-28 13:56:41,0,1,0.21725302812250394,1.1162725807909795,5,4,-0.03185816504645905,-1.6970275242137205
2024-11-28 13:56:53,0,1,-1.2203986509382072,1.116432786951264,5,4,-0.5965689017294427,-1.6929670629851687
2024-11-28 13:57:05,0,1,-1.2203986509382072,1.116432786951264,5,4,1.224807976880891,-1.6889066017566168
2024-11-28 13:57:17,0,1,-1.2203986509382072,1.116432786951264,5,4,1.224807976880891,-1.6848461405280648
2024-11-28 13:57:29,0,1,-1.2203986509382072,1.116432786951264,5,4,1.224807976880891,-1.6807856792995128
2024-11-28 13:57:41,0,1,-1.2203986509382072,1.116432786951264,5,4,1.224807976880891,-1.6767252180709609
2024-11-28 13:57:53,0,1,-1.28001087832973,1.1164416118668727,5,4,1.2010248806392723,-1.672664756842409
2024-11-28 13:58:05,0,1,-1.28001087832973,1.1164416118668727,5,4,-0.16618672579311694,-1.6686042956138571
2024-11-28 13:58:17,0,1,-1.28001087832973,1.1164416118668727,5,4,-0.16618672579311694,-1.6645438343853052
2024-11-28 13:58:29,0,1,-1.28001087832973,1.1164416118668727,5,4,-0.16618672579311694,-1.6604833731567532
2024-11-28 13:58:42,0,1,-1.28001087832973,1.1164416118668727,5,4,-5.721448470313035,-1.6560845401591553
2024-11-28 13:58:54,0,1,-1.3059224649746515,1.116448060843664,5,4,-0.17602659908793228,-1.6520240789306033
2024-11-28 13:59:06,0,1,-1.3059224649746515,1.116448060843664,5,4,-0.845362544559155,-1.6479636177020514
2024-11-28 13:59:18,0,1,-1.3059224649746515,1.116448060843664,5,4,-0.845362544559155,-1.6439031564734994
2024-11-28 13:59:30,0,1,-1.3059224649746515,1.116448060843664,5,4,-0.845362544559155,-1.6398426952449474
2024-11-28 13:59:42,0,1,-1.3059224649746515,1.116448060843664,5,4,-0.845362544559155,-1.6357822340163957
2024-11-28 13:59:54,0,1,-1.3068052244395085,1.116451794461806,5,4,-0.8456075206577812,-1.6317217727878437
2024-11-28 14:00:07,0,1,-1.3068052244395085,1.116451794461806,5,4,-0.5508196153110135,-1.6273229397902458
2024-11-28 14:00:20,0,1,-1.3068052244395085,1.116451794461806,5,4,-0.5508196153110135,-1.6229241067926479
2024-11-28 14:00:32,0,1,-1.3068052244395085,1.116451794461806,5,4,-0.5508196153110135,-1.618863645564096
2024-11-28 14:00:44,0,1,-1.3068052244395085,1.116451794461806,5,4,-0.5508196153110135,-1.614803184335544
2024-11-28 14:00:56,0,1,-1.3054551217285506,1.1164558674997795,5,4,-0.5511870794589533,-1.610742723106992
2024-11-28 14:01:08,0,1,-1.3054551217285506,1.1164558674997795,5,4,-0.35422629616355045,-1.60668226187844
2024-11-28 14:01:20,0,1,-1.3054551217285506,1.1164558674997795,5,4,-0.35422629616355045,-1.602621800649888
2024-11-28 14:01:32,0,1,-1.3054551217285506,1.1164558674997795,5,4,-0.35422629616355045,-1.598561339421336
2024-11-28 14:01:44,0,1,-1.3054551217285506,1.1164558674997795,5,4,-0.35422629616355045,-1.5945008781927843
2024-11-28 14:01:56,0,1,-1.3049877784824497,1.1164596011179215,5,4,-0.3536342705918707,-1.5904404169642323
2024-11-28 14:02:08,0,1,-1.3049877784824497,1.1164596011179215,5,4,0.16324488283436103,-1.5863799557356804
