Timestamp,Label,Location Name,Power (W),Energy (Wh),Appliance,user1_activity,user2_activity,user3_activity,Total Power (W),Unix Time,state
2024-11-28 15:23:16,SMP01,Laboratory 207,30.981,6186.076,Refrigerator(207),wpc,wpc,wpc,30.981,1732807396,S31
2024-11-28 15:23:28,SMP01,Laboratory 207,30.981,6186.076,Refrigerator(207),wpc,wpc,wpc,30.981,1732807408,S31
2024-11-28 15:23:40,SMP01,Laboratory 207,30.981,6186.076,Refrigerator(207),wpc,wpc,wpc,30.981,1732807420,S31
2024-11-28 15:23:53,SMP01,Laboratory 207,30.587,6186.59,Refrigerator(207),wpc,wpc,wpc,30.587,1732807433,S31
2024-11-28 15:24:05,SMP01,Laboratory 207,30.587,6186.59,Refrigerator(207),wpc,wpc,wpc,30.587,1732807445,S31
2024-11-28 15:24:17,SMP01,Laboratory 207,30.587,6186.59,Refrigerator(207),wpc,wpc,wpc,30.587,1732807457,S31
2024-11-28 15:24:29,SMP01,Laboratory 207,30.587,6186.59,Refrigerator(207),wpc,wpc,wpc,30.587,1732807469,S31
2024-11-28 15:24:41,SMP01,Laboratory 207,30.587,6186.59,Refrigerator(207),wpc,wpc,wpc,30.587,1732807481,S31
2024-11-28 15:24:53,SMP01,Laboratory 207,30.435,6187.1,Refrigerator(207),wpc,wpc,wpc,30.435,1732807493,S31
2024-11-28 15:25:05,SMP01,Laboratory 207,30.435,6187.1,Refrigerator(207),wpc,wpc,wpc,30.435,1732807505,S31
2024-11-28 15:25:17,SMP01,Laboratory 207,30.435,6187.1,Refrigerator(207),wpc,wpc,wpc,30.435,1732807517,S31
2024-11-28 15:25:29,SMP01,Laboratory 207,30.435,6187.1,Refrigerator(207),wpc,wpc,wpc,30.435,1732807529,S31
2024-11-28 15:25:41,SMP01,Laboratory 207,30.435,6187.1,Refrigerator(207),wpc,wpc,wpc,30.435,1732807541,S31
2024-11-28 15:25:54,SMP01,Laboratory 207,30.416,6187.608,Refrigerator(207),wpc,wpc,wpc,30.416,1732807554,S31
2024-11-28 15:26:06,SMP01,Laboratory 207,30.416,6187.608,Refrigerator(207),wpc,wpc,wpc,30.416,1732807566,S31
2024-11-28 15:26:18,SMP01,Laboratory 207,30.416,6187.608,Refrigerator(207),wpc,wpc,wpc,30.416,1732807578,S31
2024-11-28 15:26:30,SMP01,Laboratory 207,30.416,6187.608,Refrigerator(207),wpc,wpc,wpc,30.416,1732807590,S31
2024-11-28 15:26:42,SMP01,Laboratory 207,30.416,6187.608,Refrigerator(207),wpc,wpc,wpc,30.416,1732807602,S31
2024-11-28 15:26:54,SMP01,Laboratory 207,30.449,6188.114,Refrigerator(207),wpc,wpc,wpc,30.449,1732807614,S31
2024-11-28 15:27:06,SMP01,Laboratory 207,30.449,6188.114,Refrigerator(207),wpc,wpc,wpc,30.449,1732807626,S31
2024-11-28 15:27:18,SMP01,Laboratory 207,30.449,6188.114,Refrigerator(207),wpc,wpc,wpc,30.449,1732807638,S31
2024-11-28 15:27:30,SMP01,Laboratory 207,30.449,6188.114,Refrigerator(207),wpc,wpc,wpc,30.449,1732807650,S31
2024-11-28 15:27:42,SMP01,Laboratory 207,30.449,6188.114,Refrigerator(207),wpc,wpc,wpc,30.449,1732807662,S31
2024-11-28 15:27:54,SMP01,Laboratory 207,30.271,6188.62,Refrigerator(207),wpc,wpc,wpc,30.271,1732807674,S31
2024-11-28 15:28:06,SMP01,Laboratory 207,30.271,6188.62,Refrigerator(207),wpc,wpc,wpc,30.271,1732807686,S31
2024-11-28 15:28:19,SMP01,Laboratory 207,30.271,6188.62,Refrigerator(207),wpc,wpc,wpc,30.271,1732807699,S31
2024-11-28 15:28:31,SMP01,Laboratory 207,30.271,6188.62,Refrigerator(207),wpc,wpc,wpc,30.271,1732807711,S31
2024-11-28 15:28:43,SMP01,Laboratory 207,30.271,6188.62,Refrigerator(207),wpc,wpc,wpc,30.271,1732807723,S31
2024-11-28 15:28:55,SMP01,Laboratory 207,30.254,6189.124,Refrigerator(207),wpc,wpc,wpc,30.254,1732807735,S31
2024-11-28 15:29:07,SMP01,Laboratory 207,30.254,6189.124,Refrigerator(207),wpc,wpc,wpc,30.254,1732807747,S31
2024-11-28 15:29:19,SMP01,Laboratory 207,30.254,6189.124,Refrigerator(207),wpc,wpc,wpc,30.254,1732807759,S31
2024-11-28 15:29:31,SMP01,Laboratory 207,30.254,6189.124,Refrigerator(207),wpc,wpc,wpc,30.254,1732807771,S31
2024-11-28 15:29:43,SMP01,Laboratory 207,30.254,6189.124,Refrigerator(207),wpc,wpc,wpc,30.254,1732807783,S31
2024-11-28 15:29:55,SMP01,Laboratory 207,30.167,6189.625,Refrigerator(207),wpc,wpc,wpc,30.167,1732807795,S31
2024-11-28 15:30:09,SMP01,Laboratory 207,30.167,6189.625,Refrigerator(207),wpc,wopc,wpc,30.167,1732807809,S36
2024-11-28 15:30:21,SMP01,Laboratory 207,30.167,6189.625,Refrigerator(207),wpc,wopc,wpc,30.167,1732807821,S36
2024-11-28 15:30:33,SMP01,Laboratory 207,30.167,6189.625,Refrigerator(207),wpc,wopc,wpc,30.167,1732807833,S36
2024-11-28 15:30:45,SMP01,Laboratory 207,30.167,6189.625,Refrigerator(207),wpc,wopc,wpc,30.167,1732807845,S36
2024-11-28 15:30:57,SMP01,Laboratory 207,30.325,6190.128,Refrigerator(207),wpc,wopc,wpc,30.325,1732807857,S36
2024-11-28 15:31:09,SMP01,Laboratory 207,30.325,6190.128,Refrigerator(207),wpc,wopc,wpc,30.325,1732807869,S36
2024-11-28 15:31:21,SMP01,Laboratory 207,30.325,6190.128,Refrigerator(207),wpc,wopc,wpc,30.325,1732807881,S36
2024-11-28 15:31:33,SMP01,Laboratory 207,30.325,6190.128,Refrigerator(207),wpc,wopc,wpc,30.325,1732807893,S36
2024-11-28 15:31:45,SMP01,Laboratory 207,30.485,6190.633,Refrigerator(207),wpc,wopc,wpc,30.485,1732807905,S36
2024-11-28 15:31:57,SMP01,Laboratory 207,30.485,6190.633,Refrigerator(207),wpc,wopc,wpc,30.485,1732807917,S36
2024-11-28 15:32:09,SMP01,Laboratory 207,30.485,6190.633,Refrigerator(207),wpc,wopc,wpc,30.485,1732807929,S36
2024-11-28 15:32:21,SMP01,Laboratory 207,30.485,6190.633,Refrigerator(207),wpc,wopc,wpc,30.485,1732807941,S36
2024-11-28 15:32:33,SMP01,Laboratory 207,30.485,6190.633,Refrigerator(207),wpc,wopc,wpc,30.485,1732807953,S36
2024-11-28 15:32:46,SMP01,Laboratory 207,1.238,6190.932,Refrigerator(207),wpc,wopc,wpc,1.238,1732807966,S36
2024-11-28 15:32:58,SMP01,Laboratory 207,1.238,6190.932,Refrigerator(207),wpc,wopc,wpc,1.238,1732807978,S36
2024-11-28 15:33:10,SMP01,Laboratory 207,1.238,6190.932,Refrigerator(207),wpc,wopc,wpc,1.238,1732807990,S36
2024-11-28 15:33:22,SMP01,Laboratory 207,1.238,6190.932,Refrigerator(207),wpc,wopc,wpc,1.238,1732808002,S36
2024-11-28 15:33:34,SMP01,Laboratory 207,1.238,6190.932,Refrigerator(207),wpc,wopc,wpc,1.238,1732808014,S36
2024-11-28 15:33:46,SMP01,Laboratory 207,1.235,6190.952,Refrigerator(207),wpc,wopc,wpc,1.235,1732808026,S36
2024-11-28 15:33:58,SMP01,Laboratory 207,1.235,6190.952,Refrigerator(207),wpc,wopc,wpc,1.235,1732808038,S36
2024-11-28 15:34:10,SMP01,Laboratory 207,1.235,6190.952,Refrigerator(207),wpc,wopc,wpc,1.235,1732808050,S36
2024-11-28 15:34:22,SMP01,Laboratory 207,1.235,6190.952,Refrigerator(207),wpc,wopc,wpc,1.235,1732808062,S36
2024-11-28 15:34:34,SMP01,Laboratory 207,1.235,6190.952,Refrigerator(207),wpc,wopc,wpc,1.235,1732808074,S36
