Time,Device Label,Device Name,Location,Component,Component Label,Capability,Attribute,Value
2024-11-22T00:21:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.357
2024-11-22T00:31:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.392
2024-11-22T00:41:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.346
2024-11-22T00:51:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.33
2024-11-22T01:01:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.334
2024-11-22T01:11:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.323
2024-11-22T01:21:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.362
2024-11-22T01:31:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.375
2024-11-22T01:41:26.000+00:00,SMP02,SMP02,Laboratory 207,main,main,powerMeter,power,0.327
