Time,Device Label,Device Name,Location,Component,Component Label,Capability,Attribute,Value
2024-11-21T18:06:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,1.288
2024-11-21T18:16:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.687
2024-11-21T18:26:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,27.582
2024-11-21T18:36:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.622
2024-11-21T18:46:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.734
2024-11-21T18:56:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,24.939
2024-11-21T19:06:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.555
2024-11-21T19:16:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.447
2024-11-21T19:26:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.723
2024-11-21T19:36:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,24.875
2024-11-21T19:46:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.375
2024-11-21T19:56:18.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.657
2024-11-21T20:06:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,31.593
2024-11-21T20:16:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.191
2024-11-21T20:26:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.826
2024-11-21T20:35:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.7
2024-11-21T20:45:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,24.633
2024-11-21T20:55:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.073
2024-11-21T21:05:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.702
2024-11-21T21:15:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.659
2024-11-21T21:25:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.571
2024-11-21T21:35:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.703
2024-11-21T21:45:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.696
2024-11-21T21:56:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.67
2024-11-21T22:06:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,27.995
2024-11-21T22:16:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.692
2024-11-21T22:26:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.789
2024-11-21T22:36:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.706
2024-11-21T22:46:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.604
2024-11-21T22:56:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.723
2024-11-21T23:06:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.714
2024-11-21T23:16:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,27.853
2024-11-21T23:26:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.708
2024-11-21T23:36:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.672
2024-11-21T23:46:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,27.434
2024-11-21T23:56:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.662
2024-11-22T00:06:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,1.296
2024-11-22T00:16:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,1.136
2024-11-22T00:26:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,27.975
2024-11-22T00:36:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,1.338
2024-11-22T00:46:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,0.7
2024-11-22T00:54:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,27.392
2024-11-22T01:04:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.845
2024-11-22T01:14:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.041
2024-11-22T01:24:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,55.226
2024-11-22T01:34:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,56.543
2024-11-22T01:44:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,58.686
2024-11-22T01:54:19.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.766
2024-11-22T02:04:20.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,28.398
2024-11-22T02:14:20.000+00:00,SMP01,SMP01,Laboratory 207,main,main,powerMeter,power,29.025
