Time,Device Label,Device Name,Location,Component,Component Label,Capability,Attribute,Value
2024-11-22T00:35:48.000+00:00,SMP07,SMP07,Laboratory 207,main,main,energyMeter,energy,1.232
2024-11-22T00:46:01.000+00:00,SMP07,SMP07,Laboratory 207,main,main,energyMeter,energy,1.235
2024-11-22T00:56:14.000+00:00,SMP07,SMP07,Laboratory 207,main,main,energyMeter,energy,1.237
2024-11-22T01:06:27.000+00:00,SMP07,SMP07,Laboratory 207,main,main,energyMeter,energy,1.241
2024-11-22T01:21:46.000+00:00,SMP07,SMP07,Laboratory 207,main,main,energyMeter,energy,1.246
2024-11-22T01:32:00.000+00:00,SMP07,SMP07,Laboratory 207,main,main,energyMeter,energy,1.254
