Time,Device Label,Device Name,Location,Component,Component Label,Capability,Attribute,Value
2024-11-22T00:21:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,21.191
2024-11-22T00:31:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,26.498
2024-11-22T00:41:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,72.553
2024-11-22T00:51:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,29.482
2024-11-22T01:01:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,31.175
2024-11-22T01:11:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,23.043
2024-11-22T01:21:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,29.575
2024-11-22T01:31:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,47.048
2024-11-22T01:41:35.000+00:00,SMP05,SMP05,Laboratory 207,main,main,powerMeter,power,24.569
